"species_list"	"habitat_code"
"101"	"Centrolene geckoideum"	"1.9 5.1"
"102"	"Centrolene hesperium"	"1.9 5.1"
"103"	"Centrolene peristictum"	"1.9 5.1"
"104"	"Centrolene quindianum"	"1.9 5.1"
"105"	"Centrolene savagei"	"1.9 5.1"
"106"	"Chimerella mariaelenae"	"1.9 5.1"
"107"	"Cochranella balionota"	"1.6 1.9 5.1"
"108"	"Cochranella riveroi"	"1.9"
"109"	"Cochranella xanthocheridia"	"1.6 1.9 5.1"
"110"	"Espadarana durrellorum"	"1.9 5.2"
"111"	"Hyalinobatrachium fragile"	"1.6 5.1"
"112"	"Hyalinobatrachium ibama"	"1.9 5.1"
"113"	"Hyalinobatrachium orientale"	"1.6 1.9 5.1"
"114"	"Ikakogi tayrona"	"1.6 1.9 5.1"
"115"	"Nymphargus armatus"	"1.9 5.1"
"116"	"Nymphargus cochranae"	"1.9 5.1"
"117"	"Nymphargus garciae"	"1.9 5.1"
"118"	"Nymphargus griffithsi"	"1.9 5.1"
"119"	"Nymphargus posadae"	"1.9 5.1"
"120"	"Nymphargus prasinus"	"1.6 1.9 5.1"
"121"	"Nymphargus rosada"	"1.9 5.1"
"122"	"Nymphargus ruizi"	"1.9 5.1"
"123"	"Nymphargus siren"	"1.9 5.1"
"124"	"Rulyrana adiazeta"	"1.9 5.1"
"125"	"Rulyrana susatamai"	"1.6 1.9 5.1"
"126"	"Vitreorana antisthenesi"	"1.6 1.9 5.1"
"127"	"Alcalus tasanae"	"1.6 1.9 5.1"
"128"	"Cornufer akarithymus"	"1.6"
"129"	"Cornufer parkeri"	"14.4 14.5 14.6 1.6"
"130"	"Palmatorappia solomonis"	"1.6 1.9"
"131"	"Platymantis banahao"	"1.6 1.9"
"132"	"Platymantis cornutus"	"14.3 14.4 14.6 1.6 1.9"
"133"	"Platymantis guentheri"	"14.3 14.4 14.6 1.6 1.9"
"134"	"Platymantis indeprensus"	"1.6 1.9"
"135"	"Platymantis isarog"	"1.6 1.9"
"136"	"Platymantis montanus"	"1.6 1.9"
"137"	"Platymantis naomii"	"1.6 1.9"
"138"	"Platymantis pseudodorsalis"	"1.6 1.9"
"139"	"Platymantis pygmaeus"	"1.5 1.6 1.9"
"140"	"Platymantis rabori"	"1.5 1.6 1.9"
"141"	"Platymantis sierramadrensis"	"1.5 1.6 1.9"
"142"	"Ceratophrys stolzmanni"	"1.5 3.5"
"143"	"Ceuthomantis aracamuni"	"1.9 3.7"
"144"	"Conraua alleni"	"1.6 1.9 5.1"
"145"	"Conraua robusta"	"14.6 1.6 1.9 5.1"
"146"	"Craugastor alfredi"	"1.6"
"147"	"Craugastor aphanus"	"1.6"
"148"	"Craugastor bocourti"	"1.9"
"149"	"Craugastor brocchi"	"1.9 5.1"
"150"	"Craugastor decoratus"	"14.2 14.4 1.6 1.9"
"151"	"Craugastor matudai"	"1.9"
"152"	"Craugastor persimilis"	"14.3 14.6 1.6 1.9"
"153"	"Craugastor psephosypharus"	"1.6 1.9 6 7.1"
"154"	"Craugastor pygmaeus"	"1.6 1.9"
"155"	"Craugastor rhodopis"	"1.9"
"156"	"Craugastor rivulus"	"1.6 1.9 5.1"
"157"	"Craugastor tarahumaraensis"	"1.9"
"158"	"Craugastor xucanebi"	"1.6 1.9"
"159"	"Euparkerella robusta"	"1.6"
"160"	"Euparkerella tridactyla"	"1.6"
"161"	"Hypodactylus dolops"	"1.9 5.1"
"162"	"Lynchius flavomaculatus"	"4.7"
"163"	"Lynchius simmonsi"	"1.9"
"164"	"Phrynopus barthlenae"	"14.1 14.2 14.4 1.9 4.7"
"165"	"Phrynopus horstpauli"	"14.2 14.4 1.9 3.7"
"166"	"Pristimantis actites"	"14.4 14.6 1.5 1.9"
"167"	"Pristimantis affinis"	"3.7 4.7"
"168"	"Pristimantis bicolor"	"1.9 5.1"
"169"	"Pristimantis bicumulus"	"1.9"
"170"	"Pristimantis boconoensis"	"1.9 4.7"
"171"	"Pristimantis briceni"	"1.9 4.7"
"172"	"Pristimantis bromeliaceus"	"1.9"
"173"	"Pristimantis calcarulatus"	"1.9 5.1"
"174"	"Pristimantis ceuthospilus"	"1.9"
"175"	"Pristimantis colodactylus"	"1.9"
"176"	"Pristimantis colostichos"	"4.7"
"177"	"Pristimantis condor"	"1.9"
"178"	"Pristimantis cordovae"	"3.7 4.7"
"179"	"Pristimantis crucifer"	"1.9 5.1"
"180"	"Pristimantis cruciocularis"	"1.9"
"181"	"Pristimantis diaphonus"	"1.9 5.1"
"182"	"Pristimantis diogenes"	"1.9 5.1"
"183"	"Pristimantis duellmani"	"1.9 5.1"
"184"	"Pristimantis elegans"	"1.9 4.7"
"185"	"Pristimantis eremitus"	"1.9"
"186"	"Pristimantis eriphus"	"14.6 1.9"
"187"	"Pristimantis ernesti"	"3.7 4.7"
"188"	"Pristimantis fallax"	"1.9 5.1"
"189"	"Pristimantis floridus"	"1.6 1.9"
"190"	"Pristimantis frater"	"1.9"
"191"	"Pristimantis gracilis"	"1.9 5.1"
"192"	"Pristimantis hybotragus"	"1.6 5.1"
"193"	"Pristimantis incomptus"	"1.9"
"194"	"Pristimantis inusitatus"	"1.9"
"195"	"Pristimantis kelephus"	"1.9"
"196"	"Pristimantis marahuaka"	"3.7"
"197"	"Pristimantis muricatus"	"1.6 1.9"
"198"	"Pristimantis nephophilus"	"1.9"
"199"	"Pristimantis nigrogriseus"	"1.9 5.1"
"200"	"Pristimantis nyctophylax"	"1.9"
"201"	"Pristimantis ornatissimus"	"1.6 1.9"
"202"	"Pristimantis orpacobates"	"1.6 1.9"
"203"	"Pristimantis pataikos"	"1.9"
"204"	"Pristimantis penelopus"	"1.9 5.1"
"205"	"Pristimantis petersi"	"1.9"
"206"	"Pristimantis phalarus"	"1.9"
"207"	"Pristimantis platychilus"	"1.9"
"208"	"Pristimantis polemistes"	"1.9 5.1"
"209"	"Pristimantis pugnax"	"1.9 5.1"
"210"	"Pristimantis quantus"	"1.9"
"211"	"Pristimantis quinquagesimus"	"1.9 5.1"
"212"	"Pristimantis repens"	"1.9 4.7"
"213"	"Pristimantis rhodostichus"	"1.9"
"214"	"Pristimantis rosadoi"	"1.6 5.1"
"215"	"Pristimantis ruedai"	"1.9 5.1"
"216"	"Pristimantis schultei"	"14.6 1.9"
"217"	"Pristimantis serendipitus"	"1.9"
"218"	"Pristimantis signifer"	"1.9 5.1"
"219"	"Pristimantis supernatis"	"1.9 3.7 4.7"
"220"	"Pristimantis turpinorum"	"1.6"
"221"	"Pristimantis ventriguttatus"	"1.9"
"222"	"Pristimantis verecundus"	"1.9 5.1"
"223"	"Pristimantis versicolor"	"14.2 1.9 3.6"
"224"	"Pristimantis vertebralis"	"1.9 5.1"
