"species_list"	"threat_count"
"151"	"Craugastor matudai"	"3"
"152"	"Craugastor persimilis"	"2"
"153"	"Craugastor psephosypharus"	"2"
"154"	"Craugastor pygmaeus"	"4"
"155"	"Craugastor rhodopis"	"3"
"156"	"Craugastor rivulus"	"4"
"157"	"Craugastor tarahumaraensis"	"2"
"158"	"Craugastor xucanebi"	"3"
"159"	"Euparkerella robusta"	"4"
"160"	"Euparkerella tridactyla"	"5"
"161"	"Hypodactylus dolops"	"8"
"162"	"Lynchius flavomaculatus"	"2"
"163"	"Lynchius simmonsi"	"1"
"164"	"Phrynopus barthlenae"	"1"
"165"	"Phrynopus horstpauli"	"3"
"166"	"Pristimantis actites"	"2"
"167"	"Pristimantis affinis"	"2"
"168"	"Pristimantis bicolor"	"3"
"169"	"Pristimantis bicumulus"	"3"
"170"	"Pristimantis boconoensis"	"2"
"171"	"Pristimantis briceni"	"0"
"172"	"Pristimantis bromeliaceus"	"10"
"173"	"Pristimantis calcarulatus"	"6"
"174"	"Pristimantis ceuthospilus"	"2"
"175"	"Pristimantis colodactylus"	"6"
"176"	"Pristimantis colostichos"	"2"
"177"	"Pristimantis condor"	"8"
"178"	"Pristimantis cordovae"	"1"
"179"	"Pristimantis crucifer"	"5"
"180"	"Pristimantis cruciocularis"	"1"
"181"	"Pristimantis diaphonus"	"2"
"182"	"Pristimantis diogenes"	"1"
"183"	"Pristimantis duellmani"	"7"
"184"	"Pristimantis elegans"	"2"
"185"	"Pristimantis eremitus"	"7"
"186"	"Pristimantis eriphus"	"6"
"187"	"Pristimantis ernesti"	"0"
"188"	"Pristimantis fallax"	"5"
"189"	"Pristimantis floridus"	"4"
"190"	"Pristimantis frater"	"2"
"191"	"Pristimantis gracilis"	"4"
"192"	"Pristimantis hybotragus"	"1"
"193"	"Pristimantis incomptus"	"3"
"194"	"Pristimantis inusitatus"	"4"
"195"	"Pristimantis kelephus"	"0"
"196"	"Pristimantis marahuaka"	"0"
"197"	"Pristimantis muricatus"	"3"
"198"	"Pristimantis nephophilus"	"3"
"199"	"Pristimantis nigrogriseus"	"7"
"200"	"Pristimantis nyctophylax"	"4"
"201"	"Pristimantis ornatissimus"	"5"
"202"	"Pristimantis orpacobates"	"5"
"203"	"Pristimantis pataikos"	"3"
"204"	"Pristimantis penelopus"	"4"
"205"	"Pristimantis petersi"	"4"
"206"	"Pristimantis phalarus"	"1"
"207"	"Pristimantis platychilus"	"1"
"208"	"Pristimantis polemistes"	"0"
"209"	"Pristimantis pugnax"	"8"
"210"	"Pristimantis quantus"	"1"
"211"	"Pristimantis quinquagesimus"	"7"
"212"	"Pristimantis repens"	"1"
"213"	"Pristimantis rhodostichus"	"4"
"214"	"Pristimantis rosadoi"	"6"
"215"	"Pristimantis ruedai"	"3"
"216"	"Pristimantis schultei"	"5"
"217"	"Pristimantis serendipitus"	"3"
"218"	"Pristimantis signifer"	"4"
"219"	"Pristimantis supernatis"	"7"
"220"	"Pristimantis turpinorum"	"0"
"221"	"Pristimantis ventriguttatus"	"1"
"222"	"Pristimantis verecundus"	"7"
"223"	"Pristimantis versicolor"	"7"
"224"	"Pristimantis vertebralis"	"3"
"225"	"Pristimantis xylochobates"	"1"
"226"	"Psychrophrynella adenopleura"	"4"
"227"	"Psychrophrynella ankohuma"	"1"
"228"	"Psychrophrynella bagrecito"	"3"
"229"	"Psychrophrynella chacaltaya"	"3"
"230"	"Psychrophrynella illampu"	"1"
"231"	"Psychrophrynella kempffi"	"4"
"232"	"Psychrophrynella pinguis"	"2"
"233"	"Psychrophrynella quimsacruzis"	"2"
"234"	"Psychrophrynella wettsteini"	"0"
"235"	"Strabomantis anatipes"	"5"
"236"	"Strabomantis biporcatus"	"1"
"237"	"Strabomantis cheiroplethus"	"2"
"238"	"Strabomantis cornutus"	"12"
"239"	"Strabomantis ingeri"	"3"
"240"	"Strabomantis necerus"	"5"
"241"	"Strabomantis necopinus"	"3"
"242"	"Tachiramantis douglasi"	"2"
"243"	"Yunganastes ashkapara"	"1"
"244"	"Cycloramphus acangatan"	"4"
"245"	"Rhinoderma darwinii"	"10"
"246"	"Thoropa petropolitana"	"5"
"247"	"Ameerega cainarachi"	"3"
"248"	"Ameerega pongoensis"	"2"
"249"	"Andinobates altobueyensis"	"7"
"250"	"Andinobates daleswansoni"	"3"
"251"	"Andinobates dorisswansonae"	"4"
"252"	"Andinobates opisthomelas"	"7"
"253"	"Andinobates tolimensis"	"1"
"254"	"Andinobates viridis"	"6"
"255"	"Hyloxalus awa"	"5"
"256"	"Hyloxalus pulchellus"	"8"
"257"	"Hyloxalus vergeli"	"0"
"258"	"Oophaga granulifera"	"6"
