"species_list"	"threat_code"
"279"	"Adelophryne baturitensis"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5"
"280"	"Diasporus ventrimaculatus"	"11.1 1.3 8.1 8.1.2"
"281"	"Eleutherodactylus angustidigitorum"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.5"
"282"	"Eleutherodactylus audanti"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"283"	"Eleutherodactylus cooki"	"1.1 2.1 2.1.2 8.1 8.1 8.1 8.1.1 8.1.2 8.1.2"
"284"	"Eleutherodactylus goini"	"1.1 1.3 2.1 2.1.1 2.1.2 9.3 9.3.4"
"285"	"Eleutherodactylus guantanamera"	"1.1 1.3 2.1 2.1.2 2.1.3 5.3 5.3.5 6.1"
"286"	"Eleutherodactylus leprus"	"2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"287"	"Eleutherodactylus limbatus"	"2.1 2.1.1 2.3 2.3.2"
"288"	"Eleutherodactylus longipes"	"5.3 5.3.5 8.1 8.1.2"
"289"	"Eleutherodactylus modestus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3"
"290"	"Eleutherodactylus monensis"	"5.3 5.3.5 8.1 8.1.1"
"291"	"Eleutherodactylus nivicolimae"	"10.1 5.3 5.3.5 7.1 7.1.3"
"292"	"Eleutherodactylus pentasyringos"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5"
"293"	"Eleutherodactylus pictissimus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"294"	"Eleutherodactylus ricordii"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5 6.1"
"295"	"Eleutherodactylus ronaldi"	"1.1 1.3 2.1 2.1.2 5.3 5.3.5 6.1"
"296"	"Eleutherodactylus rubrimaculatus"	"2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"297"	"Eleutherodactylus unicolor"	"11.5 8.1 8.1.2"
"298"	"Eleutherodactylus varians"	"2.1 2.1.1 2.1.2"
"299"	"Eleutherodactylus verrucipes"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"300"	"Eleutherodactylus wetmorei"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"301"	"Cryptobatrachus fuhrmanni"	"2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 6.2 9.1 9.1.3 9.3 9.3.4"
"302"	"Gastrotheca angustifrons"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 5.3 5.3.3 5.3.4 9.3 9.3.3"
"303"	"Gastrotheca antomia"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"304"	"Gastrotheca atympana"	"2.1 2.1.1 3.2 4.1 5.3 5.3.5"
"305"	"Gastrotheca chrysosticta"	"5.3 5.3.4 7.3 8.1 8.1.2"
"306"	"Gastrotheca dendronastes"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.3 5.3.4 7.1 7.1.3 8.1 8.1.2 9.3 9.3.3"
"307"	"Gastrotheca excubitor"	"1.3 2.1 2.1.2 5.3 5.3.3"
"308"	"Gastrotheca gracilis"	"5.3 5.3.4 7.3 8.1 8.1.2"
"309"	"Gastrotheca guentheri"	"1.1 11.5 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.4 8.1 8.1.2 9.3 9.3.3"
"310"	"Gastrotheca plumbea"	"1.1 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.2 5.2.4 5.3 5.3.4 7.1 7.1.3 8.1 8.1.2"
"311"	"Stefania riveroi"	""
"312"	"Stefania schuberti"	"6.1 7.1 7.1.3"
"313"	"Hemisus guttatus"	"1.1 2.1 2.1.3 2.2 2.2.2 8.1 8.1.1"
"314"	"Bokermannohyla vulcaniae"	"2.1 2.1.2 3.2"
"315"	"Charadrahyla nephila"	"2.1 2.1.2 5.3 5.3.5 8.1 8.1.2"
"316"	"Charadrahyla taeniopus"	"5.1 5.1.1 5.3 5.3.5"
"317"	"Dendropsophus stingi"	""
"318"	"Duellmanohyla schmidtorum"	"1.1 5.3 5.3.5 8.1 8.1.2"
"319"	"Ecnomiohyla miliaria"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.5"
"320"	"Exerodonta juanitae"	"1.1 5.3 5.3.5 8.1 8.1.2"
"321"	"Exerodonta melanomma"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 8.1 8.1.2"
"322"	"Exerodonta pinorum"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 8.1 8.1.2"
"323"	"Exerodonta xera"	"1.1 1.3 7.3"
"324"	"Hyla walkeri"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"325"	"Hyloscirtus lindae"	"1.1 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.4"
"326"	"Hyloscirtus platydactylus"	"1.1 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2"
"327"	"Hyloscirtus torrenticola"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.3"
"328"	"Hypsiboas heilprini"	"1.1 2.1 2.1.2 3.2 5.3 5.3.3 8.1 8.1.2 9.3 9.3.2"
"329"	"Litoria andiirrmalin"	""
"330"	"Litoria aurea"	"1.1 11.2 11.5 1.3 5.1 5.1.1 6.1 7.1 7.1.3 8.1 8.1 8.1.2 8.1.2"
"331"	"Litoria becki"	""
"332"	"Litoria daviesae"	"2.3 2.3.2 2.3.3 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"333"	"Litoria freycineti"	"1.1 1.3 2.1 2.1.3 2.2 2.2.2 2.3 2.3.3 3.2 4.1 8.1 8.1.1 9.3 9.3.1"
"334"	"Litoria lutea"	"5.3 5.3.5"
"335"	"Litoria olongburensis"	"1.1 1.3 2.1 2.1.4 2.2 2.2.3 2.3 2.3.3 3.2 4.1 7.1 7.1.3 7.2 7.2.8 8.1 8.1 8.1.1 8.1.2 8.2 9.3 9.3.4"
"336"	"Litoria quadrilineata"	"5.1 5.1.1"
"337"	"Litoria subglandulosa"	"2.3 2.3.2 2.3.3 3.2 5.3 5.3.5 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"338"	"Litoria wisselensis"	""
"339"	"Nyctimystes avocalis"	"1.1 2.1 2.1.1 2.1.2 7.1 7.1.3"
"340"	"Nyctimystes rueppelli"	"5.3 5.3.5"
"341"	"Osteopilus pulchrilineatus"	"1.1 2.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 8.1 8.1.2"
"342"	"Osteopilus vastus"	"2.1 2.1.2 3.2 5.1 5.1.1 5.3 5.3.3 8.1 8.1.2"
"343"	"Tepuihyla rimarum"	""
"344"	"Tlalocohyla godmani"	"1.1 1.2 1.3 2.1 2.1.1 2.1.2 6.1"
"345"	"Afrixalus enseticola"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.3 8.2 8.2.2"
"346"	"Afrixalus morerei"	"1.1 2.1 2.1.2 2.2 2.2.2 7.1 7.1.3"
"347"	"Afrixalus sylvaticus"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.5"
"348"	"Afrixalus uluguruensis"	"1.1 2.1 2.1.2 5.3 5.3.5"
"349"	"Callixalus pictus"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"350"	"Hyperolius burgessi"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.3"
"351"	"Hyperolius constellatus"	"1.1 2.1 2.1.2 2.3 2.3.2 3.2 4.1 5.3 5.3.3"
"352"	"Hyperolius endjami"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"353"	"Hyperolius inyangae"	"1.1 2.1 2.1.2 2.3 2.3.2"
"354"	"Hyperolius laurenti"	"1.1 2.1 2.1.2 5.3 5.3.5"
"355"	"Hyperolius minutissimus"	"1.1 2.1 2.1.2 2.2 2.2.2 7.1 7.1.3 7.2 7.2.1 7.2.3"
"356"	"Hyperolius polystictus"	""
"357"	"Hyperolius riggenbachi"	"1.1 2.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5"
"358"	"Hyperolius spinigularis"	"2.1 2.1.1 2.1.2 5.3 5.3.3 7.1 7.1.1"
"359"	"Hyperolius viridigulosus"	"1.1 2.1 2.1.2 5.3 5.3.5"
"360"	"Kassina arboricola"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"361"	"Kassina lamottei"	"1.1 11.2 2.1 2.1.1 2.1.2 5.3 5.3.5"
"362"	"Morerella cyanophthalma"	"1.1 3.1 5.3 5.3.1 5.3.2 9.1 9.1.1 9.1.2 9.5 9.5.2"
"363"	"Paracassina kounhiensis"	"1.1 2.1 2.1.1 2.1.2"
"364"	"Leiopelma hamiltoni"	"5.3 5.3.5 7.1 7.1.3 8.1 8.1 8.1.2 8.1.2 8.2 8.2.2"
"365"	"Leiopelma pakeka"	"7.1 7.1.1 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2"
"366"	"Leptodactylus nesiotus"	""
"367"	"Leptodactylus pascoensis"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"368"	"Leptodactylus peritoaktites"	"2.1 2.1.2 2.1.3 5.3 5.3.5"
"369"	"Physalaemus atlanticus"	""
"370"	"Heleioporus australiacus"	"1.1 1.2 1.3 2.3 2.3.2 2.3.3 4.1 4.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1 8.1.1 8.1.2 9.1 9.1.3 9.3 9.3.2 9.3.4"
"371"	"Aglyptodactylus laticeps"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.2 5.3 5.3.5 7.1 7.1.3"
"372"	"Boehmantis microtympanum"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5 8.1 8.1.2"
"373"	"Boophis andohahela"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"374"	"Boophis andreonei"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.4 8.4.2"
"375"	"Boophis blommersae"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"376"	"Boophis brachychir"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3"
"377"	"Boophis englaenderi"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"378"	"Boophis fayi"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"379"	"Boophis majori"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"380"	"Boophis miniatus"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2 8.4 8.4.2"
"381"	"Boophis popi"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"382"	"Boophis spinophis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.3 7.1 7.1.3 8.1 8.1.1"
"383"	"Boophis ulftunni"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.3 7.1 7.1.1 8.1 8.1.1 8.4 8.4.2"
"384"	"Boophis vittatus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"385"	"Gephyromantis ambohitra"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"386"	"Gephyromantis cornutus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"387"	"Gephyromantis enki"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.4 8.4.2"
"388"	"Gephyromantis horridus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"389"	"Gephyromantis rivicola"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"390"	"Gephyromantis runewsweeki"	"2.1 2.1.1 2.1.2 5.3 5.3.5 8.4 8.4.2"
"391"	"Gephyromantis salegy"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"392"	"Gephyromantis schilfi"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"393"	"Gephyromantis silvanus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"394"	"Gephyromantis spiniferus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"395"	"Gephyromantis striatus"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"396"	"Gephyromantis tahotra"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.1 8.4 8.4.2"
"397"	"Gephyromantis tandroka"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 8.4 8.4.2"
"398"	"Guibemantis kathrinae"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"399"	"Guibemantis tasifotsy"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.1 7.1 7.1.1 8.1 8.1.1"
"400"	"Mantella madagascariensis"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5 8.1 8.1.2"
"401"	"Mantella manery"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5 8.1 8.1.2"
"402"	"Mantella pulchra"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5 8.1 8.1.2"
"403"	"Mantidactylus delormei"	"2.1 2.1.2 5.3 5.3.5"
"404"	"Mantidactylus noralottae"	""
"405"	"Spinomantis guibei"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"406"	"Spinomantis massi"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"407"	"Spinomantis tavaratra"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.1 8.1 8.1.1"
"408"	"Borneophrys edwardinae"	"5.3 5.3.5 9.3 9.3.2"
"409"	"Brachytarsophrys intermedia"	"1.1 1.3 5.3 5.3.5 7.2 7.2.11 9.3 9.3.4"
"410"	"Leptobrachella baluensis"	"2.2 2.2.2 5.3 5.3.5 9.3 9.3.2"
"411"	"Leptobrachella brevicrus"	""
"412"	"Leptobrachella parva"	"5.3 5.3.5 9.3 9.3.2"
"413"	"Leptobrachella serasanae"	"5.3 5.3.5 9.3 9.3.2"
"414"	"Leptobrachium banae"	"2.1 2.1.1 2.1.2 2.2 2.2.1 2.2.2 5.2 5.2.4 5.3 5.3.5 9.1 9.1.3 9.3 9.3.4"
"415"	"Leptobrachium gunungense"	""
"416"	"Leptobrachium hainanense"	"2.1 2.1 2.1.1 2.1.2 2.2 2.2.2 5.1 5.1.1 5.3 5.3.5 5.4 5.4.3 7.2 7.2.11"
"417"	"Leptobrachium leucops"	"2.1 2.1.3 4.1 5.3 5.3.1"
"418"	"Leptolalax arayai"	"5.3 5.3.5 9.3 9.3.2"
"419"	"Leptolalax firthi"	"3.2 5.3 5.3.4"
"420"	"Leptolalax hamidi"	"5.3 5.3.5 9.3 9.3.2"
"421"	"Leptolalax kajangensis"	""
"422"	"Leptolalax pictus"	"5.3 5.3.5 9.3 9.3.2"
"423"	"Megophrys auralensis"	"2.1 2.1.2 5.3 5.3.3 5.3.4"
"424"	"Megophrys giganticus"	"2.1 2.1.2 2.2 2.2.2 5.3 5.3.5"
"425"	"Megophrys nankiangensis"	"1.3"
"426"	"Megophrys stejnegeri"	"2.1 2.1.1 9.1 9.1.1 9.2 9.2.2 9.3 9.3.2 9.3.4"
"427"	"Ophryophryne synoria"	"2.1 2.1.2 2.1.3 5.3 5.3.3"
"428"	"Oreolalax granulosus"	"2.1 2.1.2"
"429"	"Oreolalax jingdongensis"	"2.1 2.1.2"
"430"	"Oreolalax major"	"1.1 2.1 2.1.2 5.3 5.3.5"
"431"	"Oreolalax multipunctatus"	"1.3 5.1 5.1.1 5.3 5.3.5 6.1"
"432"	"Oreolalax rhodostigmatus"	"5.1 5.1.1 6.1"
"433"	"Scutiger gongshanensis"	"1.1 2.1 2.1.2 5.3 5.3.5"
"434"	"Scutiger liupanensis"	"5.3 5.3.5"
"435"	"Scutiger nepalensis"	"1.1 2.1 2.1.2 2.3 2.3.2 7.2 7.2.3"
"436"	"Scutiger ruginosus"	""
"437"	"Scutiger tuberculatus"	"5.3 5.3.5"
"438"	"Micrixalus nudis"	"2.1 2.1.2 2.1.3 5.3 5.3.5"
"439"	"Micrixalus phyllophilus"	"2.1 2.1.2 5.3 5.3.5"
"440"	"Micrixalus saxicola"	"1.1 5.3 5.3.5 7.2 7.2.11 9.3 9.3.2"
"441"	"Anodonthyla montana"	"11.1 8.4 8.4.2"
"442"	"Austrochaperina novaebritanniae"	"5.3 5.3.5"
"443"	"Cophixalus aenigma"	""
"444"	"Cophixalus nubicola"	"5.3 5.3.5 7.1 7.1.3"
"445"	"Cophixalus saxatilis"	"1.3 5.3 5.3.5 6.1"
"446"	"Cophyla occultans"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
"447"	"Copiula minor"	"1.1 2.1 2.1.1 2.1.2 7.1 7.1.3"
"448"	"Ctenophryne barbatula"	"2.1 2.1.2"
"449"	"Dasypops schirchi"	"1.1 1.2 2.1 2.1.2 2.2 2.2.1 2.2.2 5.3 5.3.5"
"450"	"Gastrophrynoides borneensis"	"5.3 5.3.5"
"451"	"Hypopachus barberi"	"2.1 2.1.2 5.3 5.3.5"
"452"	"Kalophrynus minusculus"	"2.1 2.1.2 5.3 5.3.5"
"453"	"Kalophrynus intermedius"	"5.3 5.3.5"
"454"	"Kalophrynus punctatus"	"5.3 5.3.5"
"455"	"Kaloula kalingensis"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 4.1"
"456"	"Kaloula rigida"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.3 5.3 5.3.5 7.2 7.2.11 9.1 9.1.1 9.2 9.2.3 9.3 9.3.2 9.3.4"
"457"	"Microhyla maculifera"	"5.3 5.3.5"
"458"	"Oreophryne anulata"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.3 5.3 5.3.5"
"459"	"Oreophryne celebensis"	"2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"460"	"Oreophryne variabilis"	"2.1 2.1.2"
"461"	"Plethodontohyla brevipes"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2"
"462"	"Rhombophryne mangabensis"	"8.4 8.4.2"
"463"	"Rhombophryne staffordi"	"5.3 5.3.1 5.3.3 7.1 7.1.1"
"464"	"Scaphiophryne marmorata"	"1.1 2.1 2.1.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2 8.4 8.4.2"
"465"	"Uperodon nagaoi"	""
"466"	"Uperodon triangularis"	"1.1 2.1 2.1.2 2.1.3 2.2 2.2.2"
"467"	"Crinia tinnula"	"1.1 1.3 2.1 2.1.3 2.2 2.2.2 2.3 2.3.3 3.2 4.1 7.2 7.2.8 8.1 8.1.1 9.3 9.3.4"
"468"	"Geocrinia vitellina"	"11.2 11.3 11.4 7.1 7.1.3 8.1 8.1.2"
"469"	"Mixophyes balbus"	"2.2 2.2.3 2.3 2.3.3 5.3 5.3.5 7.1 7.1.3 8.1 8.1 8.1 8.1.2 8.1.2 8.1.2 9.3 9.3.2 9.3.4"
"470"	"Pseudophryne australis"	"1.1 1.2 4.1 6.3 7.1 7.1.3 8.1 8.1.1 9.1 9.1.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"471"	"Spicospina flammocaerulea"	"11.2 11.3 11.4 2.3 2.3.2 7.1 7.1.3 8.1 8.1 8.1.1 8.1.2 8.1.2 8.2 8.2.1"
"472"	"Nyctibatrachus deccanensis"	"2.1 2.1.2 2.1.3 2.2 2.2.2 5.3 5.3.5"
"473"	"Nyctibatrachus humayuni"	"1.3 2.1 2.1.2 4.1 9.3 9.3.2 9.3.4"
"474"	"Nyctibatrachus major"	"1.3 2.1 2.1.2 2.1.3 4.1 5.3 5.3.5 6.1"
"475"	"Odontophrynus achalensis"	"2.3 2.3.1 7.1 7.1.3 9.3 9.3.4"
"476"	"Phrynobatrachus cricogaster"	"1.1 2.1 2.1.2 5.3 5.3.5"
"477"	"Phrynobatrachus kinangopensis"	"2.1 2.1.2 9.3 9.3.4"
"478"	"Phrynobatrachus steindachneri"	"1.1 2.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5"
"479"	"Phrynobatrachus sulfureogularis"	"1.1 2.1 2.1.2 2.3 2.3.2 5.1 5.1.1 5.3 5.3.3"
"480"	"Phrynobatrachus villiersi"	"1.1 2.1 2.1.2 5.3 5.3.5"
"481"	"Agalychnis litodryas"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5"
"482"	"Anhydrophryne rattrayi"	"2.2 2.2.2 5.3 5.3.3 7.1 7.1.1 8.1 8.1.1"
"483"	"Strongylopus kitumbeine"	"2.3 2.3.2 7.1 7.1.3"
"484"	"Strongylopus rhodesianus"	"1.1 2.2 2.2.2 2.3 2.3.2"
"485"	"Amnirana longipes"	"1.1 2.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5"
"486"	"Amolops jinjiangensis"	"2.1 2.1.2"
"487"	"Amolops kangtingensis"	"1.1 4.1"
"488"	"Amolops loloensis"	"1.1 2.2 2.2.2 5.3 5.3.5 7.1 7.1.3 9.2 9.2.2"
"489"	"Amolops torrentis"	"2.1 2.1.1 2.1.2 2.2 2.2.2 5.3 5.3.5 7.2 7.2.11"
"490"	"Amolops tuberodepressus"	"2.1 2.1.2"
"491"	"Huia masonii"	"9.3 9.3.2 9.3.4"
"492"	"Indosylvirana aurantiaca"	"1.1 2.1 2.1.2 2.1.3 3.2 9.3 9.3.4"
"493"	"Lithobates bwana"	"1.1 2.1 2.1.3 2.3 2.3.3 5.3 5.3.5 9.3 9.3.4"
"494"	"Lithobates chiricahuensis"	"2.3 2.3.2 2.3.3 3.2 5.3 5.3.5 7.2 7.2.8 8.1 8.1 8.1.1 8.1.2"
"495"	"Lithobates macroglossa"	"1.1 2.1 2.1.1 2.1.2 5.3 5.3.5 9.3 9.3.2 9.3.4"
"496"	"Lithobates megapoda"	"11.2 2.1 2.1.2 5.1 5.1.1 5.3 5.3.5 9.1 9.1.1 9.1.3 9.3 9.3.4"
"497"	"Lithobates miadis"	"1.3 6.1"
"498"	"Lithobates okaloosae"	"7.2 7.2.11 8.2"
"499"	"Lithobates sierramadrensis"	"5.3 5.3.5 8.1 8.1.2"
"500"	"Lithobates tarahumarae"	"11.3 11.4 2.1 2.1.3 8.1 8.1 8.1 8.1 8.1.1 8.1.2 8.1.2 8.1.2 9.2 9.2.3 9.3 9.3.2 9.5 9.5.2"
"501"	"Lithobates vibicarius"	"1.1 2.1 2.1.2 2.1.3 5.3 5.3.5 8.1 8.1.2 9.3 9.3.3"
"502"	"Meristogenys amoropalamus"	"5.3 5.3.5"
"503"	"Meristogenys jerboa"	""
"504"	"Odorrana geminata"	"2.1 2.1.2 2.1.3"
"505"	"Odorrana hainanensis"	"2.1 2.1 2.1.1 2.1.2 2.2 2.2.1 3.3 5.3 5.3.5 5.4 5.4.3 7.2 7.2.11"
"506"	"Odorrana jingdongensis"	"1.1 1.2 2.1 2.1.2 5.1 5.1.1 5.3 5.3.5"
"507"	"Odorrana junlianensis"	"1.1 2.1 2.1.2 5.3 5.3.5"
"508"	"Odorrana nasuta"	"1.1 2.1 2.1.2 5.3 5.3.5"
"509"	"Odorrana tormota"	"2.1 2.1.2 2.2 2.2.2 5.3 5.3.5 7.2 7.2.11"
"510"	"Papurana waliesa"	"2.1 2.1.2 5.3 5.3.5"
"511"	"Pelophylax chosenicus"	"1.1 2.1 2.1.2 9.1 9.1.3"
"512"	"Pelophylax epeiroticus"	"1.1 1.2 1.3 2.1 2.1.3 2.3 2.3.3 5.1 5.1.1 7.2 7.2.8 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"513"	"Pseudorana weiningensis"	"2.1 2.1.2 9.3 9.3.4"
"514"	"Pterorana khare"	"5.4 5.4.3"
"515"	"Rana draytonii"	"1.1 11.2 1.2 2.3 2.3.4 4.3 5.1 5.1.1 7.2 7.2.11 8.1 8.1 8.1.1 8.1.2 8.1.2 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"516"	"Rana latastei"	"1.1 1.2 2.1 2.1.3 2.3 2.3.3 5.3 5.3.5 7.2 7.2.8 8.1 8.1 8.1.1 8.1.2 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"517"	"Rana longicrus"	"1.1 1.2 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"518"	"Rana pretiosa"	"2.1 2.1.4 2.3 2.3.4 7.2 7.2.11 7.2.8 8.1 8.1.1"
"519"	"Sanguirana igorota"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.3 3.2 5.3 5.3.5 9.3 9.3.2 9.3.4"
"520"	"Sanguirana tipanan"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 3.2 5.3 5.3.5 9.3 9.3.4"
"521"	"Sylvirana spinulosa"	"2.1 2.1.1 3.3 5.3 5.3.5 7.2 7.2.11"
"522"	"Indirana leithii"	"1.3 2.1 2.1.2 2.1.3 4.1 5.3 5.3.5"
"523"	"Buergeria oxycephala"	"2.1 2.1.2 5.1 5.1.1 5.4 5.4.3 7.2 7.2.11"
"524"	"Chiromantis samkosensis"	"2.1 2.1.2 4.1 5.3 5.3.4 8.4 8.4.1"
"525"	"Gracixalus jinxiuensis"	"2.1 2.1.1 2.1.2 7.1 7.1.3"
"526"	"Gracixalus quangi"	"1.1 2.1 2.1.2"
"527"	"Philautus acutirostris"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 3.2 5.3 5.3.5"
"528"	"Philautus acutus"	""
"529"	"Philautus amoenus"	""
"530"	"Philautus bunitus"	"5.3 5.3.5"
"531"	"Philautus erythrophthalmus"	"5.3 5.3.5"
"532"	"Philautus garo"	"5.3 5.3.5"
"533"	"Philautus gunungensis"	""
"534"	"Philautus ingeri"	"5.3 5.3.5"
"535"	"Philautus leitensis"	"1.1 2.1 2.1.1 2.1.2 2.1.3 5.3 5.3.5"
"536"	"Philautus pallidipes"	"5.3 5.3.5"
