"species_list"	"threat_code"
"76"	"Oreophrynella vasquezi"	"7.1 7.1.3"
"77"	"Osornophryne sumacoensis"	"10.1"
"78"	"Pelophryne guentheri"	"5.3 5.3.5"
"79"	"Pelophryne lighti"	"2.1 2.1.1 2.1.3 5.3 5.3.5 9.2 9.2.2 9.3 9.3.2 9.3.4"
"80"	"Pelophryne misera"	"1.3 4.2 5.3 5.3.5 6.1"
"81"	"Pelophryne rhopophilia"	""
"82"	"Peltophryne empusa"	"2.1 2.1.2 2.1.3 2.3 2.3.2 8.1 8.1.2 9.2 9.2.3 9.3 9.3.4"
"83"	"Peltophryne guentheri"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.4"
"84"	"Peltophryne gundlachi"	"2.1 2.1.2 2.1.3 2.3 2.3.2 8.1 8.1.2 9.3 9.3.3"
"85"	"Peltophryne taladai"	"2.1 2.1.2 2.3 2.3.2 3.2 5.3 5.3.5 9.2 9.2.3 9.3 9.3.4"
"86"	"Rhinella atacamensis"	"11.2 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 3.2 7.2 7.2.1 7.2.3 9.3 9.3.4"
"87"	"Rhinella justinianoi"	"2.1 2.1.2"
"88"	"Rhinella manu"	"6.1"
"89"	"Rhinella quechua"	"2.1 2.1.2 9.3 9.3.4"
"90"	"Rhinella rubropunctata"	"1.3 2.1 2.1.2 2.1.3 2.2 2.2.2 2.3 2.3.2 5.3 5.3.5 6.1 9.3 9.3.4"
"91"	"Rhinella rumbolli"	"5.3 5.3.5 8.1 8.1.2"
"92"	"Rhinella yanachaga"	"8.1 8.1.2"
"93"	"Sclerophrys perreti"	""
"94"	"Sclerophrys urunguensis"	"1.1 2.1 2.1.2 5.3 5.3.3"
"95"	"Wolterstorffina parvipalmata"	"2.1 2.1.2"
"96"	"Calyptocephalella gayi"	"1.1 1.2 8.1 8.1.2 9.2 9.2.3 9.3 9.3.4"
"97"	"Telmatobufo australis"	"2.2 2.2.2 5.3 5.3.5 9.3 9.3.2"
"98"	"Celsiella revocata"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.4"
"99"	"Centrolene buckleyi"	"2.1 2.1.2 8.1 8.1.2"
"100"	"Centrolene daidaleum"	"2.1 2.1.4 2.3 2.3.4"
"101"	"Centrolene geckoideum"	"1.1 11.1 1.2 2.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2 9.3 9.3.4"
"102"	"Centrolene hesperium"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"103"	"Centrolene peristictum"	"1.1 11.1 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2 9.3 9.3.4"
"104"	"Centrolene quindianum"	"2.3 2.3.2 2.3.3 8.1 8.1.2 9.3 9.3.4"
"105"	"Centrolene savagei"	"11.2 2.1 2.1.2 2.3 2.3 2.3.2 2.3.3 6.2 9.3 9.3.4"
"106"	"Chimerella mariaelenae"	"2.1 2.1.2 9.1 9.1.3"
"107"	"Cochranella balionota"	"1.1 11.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.1 9.3 9.3.4"
"108"	"Cochranella riveroi"	""
"109"	"Cochranella xanthocheridia"	"2.1 2.1.2 5.3 5.3.5 9.3 9.3.4"
"110"	"Espadarana durrellorum"	"1.1 2.1 2.1.2"
"111"	"Hyalinobatrachium fragile"	"10.3 1.1 2.1 2.1.2 5.3 5.3.5"
"112"	"Hyalinobatrachium ibama"	"1.1 2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.4"
"113"	"Hyalinobatrachium orientale"	"1.1 2.1 2.1.2"
"114"	"Ikakogi tayrona"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 9.3 9.3.3"
"115"	"Nymphargus armatus"	""
"116"	"Nymphargus cochranae"	"2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5"
"117"	"Nymphargus garciae"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"118"	"Nymphargus griffithsi"	"1.1 11.1 1.2 2.1 2.1.2 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1 8.1.1 8.1.2 9.3 9.3.4"
"119"	"Nymphargus posadae"	"2.1 2.1.2 2.1.3 5.3 5.3.5 9.3 9.3.4"
"120"	"Nymphargus prasinus"	"2.1 2.1.2 2.3 2.3.2 9.3 9.3.4"
"121"	"Nymphargus rosada"	"2.1 2.1.2 3.2 5.3 5.3.5 9.3 9.3.4"
"122"	"Nymphargus ruizi"	"1.1 2.1 2.1.2 5.3 5.3.5 9.3 9.3.4"
"123"	"Nymphargus siren"	"11.1 2.1 2.1.2 5.3 5.3.5"
"124"	"Rulyrana adiazeta"	"2.1 2.1.4 2.3 2.3.4"
"125"	"Rulyrana susatamai"	"2.1 2.1.2 5.3 5.3.5 9.3 9.3.4"
"126"	"Vitreorana antisthenesi"	"1.1 2.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"127"	"Alcalus tasanae"	"1.1 1.2 2.1 2.1.2 5.3 5.3.5 9.2 9.2.3"
"128"	"Cornufer akarithymus"	"5.3 5.3.5"
"129"	"Cornufer parkeri"	""
"130"	"Palmatorappia solomonis"	"5.3 5.3.5"
"131"	"Platymantis banahao"	"1.1 11.2 1.3 2.1 2.1.1 4.1 4.2 5.2 5.2.4 5.3 5.3.5"
"132"	"Platymantis cornutus"	"1.1 2.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.1 2.3.2 3.2 5.2 5.2.4 5.3 5.3.5"
"133"	"Platymantis guentheri"	"1.1 1.2 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.3 5.3 5.3.5"
"134"	"Platymantis indeprensus"	"2.1 2.1.1 2.1.2 5.3 5.3.5"
"135"	"Platymantis isarog"	"1.1 11.2 11.3 1.2 2.1 2.1.1 2.1.2 4.2 5.3 5.3.5"
"136"	"Platymantis montanus"	""
"137"	"Platymantis naomii"	""
"138"	"Platymantis pseudodorsalis"	"1.1 2.1 2.1.1 2.1.2 3.2 5.3 5.3.5"
"139"	"Platymantis pygmaeus"	"1.1 1.2 2.1 2.1 2.1.1 2.1.2 2.1.3 5.3 5.3.5"
"140"	"Platymantis rabori"	"2.1 2.1.1 2.1.2 2.1.3 3.2 5.3 5.3.5"
"141"	"Platymantis sierramadrensis"	"1.1 1.2 2.1 2.1.1 2.1.2 5.3 5.3.5"
"142"	"Ceratophrys stolzmanni"	"1.1 1.2 2.1 2.1.4 2.3 2.3.4 5.3 5.3.5 9.1 9.1.3 9.2 9.2.3 9.3 9.3.4"
"143"	"Ceuthomantis aracamuni"	""
"144"	"Conraua alleni"	"1.1 2.1 2.1.2 3.2 5.3 5.3.5 9.2 9.2.3 9.3 9.3.2"
"145"	"Conraua robusta"	"1.1 2.1 2.1.2 5.1 5.1.1 5.3 5.3.5 9.3 9.3.2"
"146"	"Craugastor alfredi"	"2.1 2.1.2 5.3 5.3.5"
"147"	"Craugastor aphanus"	"5.3 5.3.5"
"148"	"Craugastor bocourti"	"1.1 2.1 2.1.1 2.1.2 2.1.3 5.3 5.3.5"
"149"	"Craugastor brocchi"	"1.3 2.1 2.1.1 5.3 5.3.5 6.1 8.1 8.1.2"
