"species_list"	"threat_count"
"149"	"Eleutherodactylus eileenae"	"4"
"150"	"Eleutherodactylus flavescens"	"4"
"151"	"Eleutherodactylus glaucoreius"	"3"
"152"	"Eleutherodactylus martinicensis"	"9"
"153"	"Eleutherodactylus pantoni"	"2"
"154"	"Eleutherodactylus paralius"	"3"
"155"	"Hemiphractus bubalus"	"5"
"156"	"Hemiphractus fasciatus"	"6"
"157"	"Gastrotheca aguaruna"	"3"
"158"	"Gastrotheca andaquiensis"	"7"
"159"	"Gastrotheca aureomaculata"	"2"
"160"	"Stefania satelles"	"0"
"161"	"Aplastodiscus cavicola"	"5"
"162"	"Aplastodiscus eugenioi"	"5"
"163"	"Aplastodiscus weygoldti"	"4"
"164"	"Bokermannohyla sagarana"	"1"
"165"	"Ecnomiohyla miotympanum"	"3"
"166"	"Hyla andersonii"	"6"
"167"	"Hyla euphorbiacea"	"1"
"168"	"Hyloscirtus alytolylax"	"7"
"169"	"Hyloscirtus bogotensis"	"5"
"170"	"Hyloscirtus callipeza"	"3"
"171"	"Hyloscirtus colymba"	"4"
"172"	"Hyloscirtus jahni"	"3"
"173"	"Hyloscirtus larinopygion"	"5"
"174"	"Hypsiboas alboniger"	"3"
"175"	"Hypsiboas cipoensis"	"7"
"176"	"Isthmohyla melacaena"	"1"
"177"	"Isthmohyla picadoi"	"3"
"178"	"Isthmohyla zeteki"	"3"
"179"	"Litoria jungguy"	"4"
"180"	"Litoria pearsoniana"	"8"
"181"	"Ptychohyla euthysanota"	"5"
"182"	"Scinax oreites"	"3"
"183"	"Scinax trapicheiroi"	"6"
"184"	"Smilisca cyanosticta"	"5"
"185"	"Xenohyla truncata"	"3"
"186"	"Crossodactylus schmidti"	"5"
"187"	"Acanthixalus sonjae"	"3"
"188"	"Afrixalus nigeriensis"	"3"
"189"	"Afrixalus vibekensis"	"3"
"190"	"Hyperolius acutirostris"	"3"
"191"	"Hyperolius ademetzi"	"3"
"192"	"Hyperolius bopeleti"	"2"
"193"	"Hyperolius chlorosteus"	"3"
"194"	"Hyperolius chrysogaster"	"3"
"195"	"Hyperolius cystocandicans"	"4"
"196"	"Hyperolius wermuthi"	"3"
"197"	"Hyperolius zonatus"	"3"
"198"	"Kassina cochranae"	"3"
"199"	"Leptodactylus laticeps"	"1"
"200"	"Leptodactylus turimiquensis"	"3"
"201"	"Pleurodema bibroni"	"4"
"202"	"Pleurodema kriegi"	"2"
"203"	"Adelotus brevis"	"10"
"204"	"Aglyptodactylus chorus"	"3"
"205"	"Boophis elenae"	"6"
"206"	"Boophis obscurus"	"7"
"207"	"Boophis periegetes"	"6"
"208"	"Boophis quasiboehmei"	"7"
"209"	"Boophis rufioculis"	"7"
"210"	"Gephyromantis blanci"	"7"
"211"	"Gephyromantis decaryi"	"6"
"212"	"Gephyromantis leucocephalus"	"5"
"213"	"Mantidactylus cowanii"	"2"
"214"	"Spinomantis bertini"	"5"
"215"	"Spinomantis elegans"	"3"
"216"	"Leptobrachium ailaonicum"	"0"
"217"	"Leptolalax dringi"	"2"
