"species_list"	"family_list"
"520"	"Telmatobius gigas"	"TELMATOBIIDAE"
"521"	"Telmatobius niger"	"TELMATOBIIDAE"
"522"	"Telmatobius pefauri"	"TELMATOBIIDAE"
"523"	"Telmatobius philippii"	"TELMATOBIIDAE"
"524"	"Telmatobius punctatus"	"TELMATOBIIDAE"
"525"	"Telmatobius timens"	"TELMATOBIIDAE"
"526"	"Telmatobius vellardi"	"TELMATOBIIDAE"
"527"	"Telmatobius vilamensis"	"TELMATOBIIDAE"
"528"	"Telmatobufo bullocki"	"CALYPTOCEPHALELLIDAE"
"529"	"Thorius aureus"	"PLETHODONTIDAE"
"530"	"Thorius infernalis"	"PLETHODONTIDAE"
"531"	"Thorius insperatus"	"PLETHODONTIDAE"
"532"	"Thorius magnipes"	"PLETHODONTIDAE"
"533"	"Thorius minutissimus"	"PLETHODONTIDAE"
"534"	"Thorius munificus"	"PLETHODONTIDAE"
"535"	"Thorius narismagnus"	"PLETHODONTIDAE"
"536"	"Thorius narisovalis"	"PLETHODONTIDAE"
"537"	"Thorius pennatulus"	"PLETHODONTIDAE"
"538"	"Thorius smithi"	"PLETHODONTIDAE"
"539"	"Thorius spilogaster"	"PLETHODONTIDAE"
"540"	"Vandijkophrynus amatolicus"	"BUFONIDAE"
"541"	"Werneria iboundji"	"BUFONIDAE"
"542"	"Wolterstorffina chirioi"	"BUFONIDAE"
"543"	"Xanthophryne tigerina"	"BUFONIDAE"
"544"	"Xenopus itombwensis"	"PIPIDAE"
"545"	"Xenopus lenduensis"	"PIPIDAE"
"546"	"Xenopus longipes"	"PIPIDAE"
