"species_list"	"threat_count"
"132"	"Cardioglossa pulchra"	"6"
"133"	"Cardioglossa schioetzi"	"3"
"134"	"Cardioglossa venusta"	"6"
"135"	"Centrolene azulae"	"4"
"136"	"Centrolene lynchi"	"9"
"137"	"Centrolene petrophilum"	"2"
"138"	"Centrolene pipilatum"	"5"
"139"	"Charadrahyla chaneque"	"1"
"140"	"Chiasmocleis lacrimae"	"5"
"141"	"Chiropterotriton chondrostega"	"3"
"142"	"Chiropterotriton cracens"	"2"
"143"	"Chiropterotriton dimidiatus"	"8"
"144"	"Chiropterotriton multidentatus"	"5"
"145"	"Chrysobatrachus cupreonitens"	"3"
"146"	"Cochranella mache"	"1"
"147"	"Colostethus mertensi"	"3"
"148"	"Colostethus ruthveni"	"6"
"149"	"Conraua goliath"	"5"
"150"	"Cophixalus mcdonaldi"	"6"
"151"	"Cophixalus monticola"	"5"
"152"	"Cophixalus neglectus"	"5"
"153"	"Cophyla alticola"	"7"
"154"	"Cophyla berara"	"2"
"155"	"Cophyla mavomavo"	"6"
"156"	"Cophyla milloti"	"9"
"157"	"Cophyla noromalalae"	"2"
"158"	"Cophyla olgae"	"6"
"159"	"Cophyla rava"	"2"
"160"	"Cophyla tetra"	"6"
"161"	"Cophyla tsaratananaensis"	"8"
"162"	"Cornufer vitianus"	"5"
"163"	"Craugastor aurilegulus"	"11"
"164"	"Craugastor azueroensis"	"6"
"165"	"Craugastor charadra"	"5"
"166"	"Craugastor daryi"	"4"
"167"	"Craugastor hobartsmithi"	"4"
"168"	"Craugastor inachus"	"4"
"169"	"Craugastor laevissimus"	"8"
"170"	"Craugastor lauraster"	"8"
"171"	"Craugastor montanus"	"3"
"172"	"Craugastor omiltemanus"	"4"
"173"	"Craugastor pechorum"	"3"
"174"	"Craugastor punctariolus"	"7"
"175"	"Craugastor rhyacobatrachus"	"6"
"176"	"Craugastor sandersoni"	"6"
"177"	"Craugastor silvicola"	"4"
"178"	"Craugastor spatulatus"	"2"
"179"	"Craugastor stuarti"	"2"
"180"	"Craugastor uno"	"2"
"181"	"Craugastor vulcani"	"0"
"182"	"Cryptobatrachus boulengeri"	"5"
"183"	"Cryptotriton alvarezdeltoroi"	"3"
"184"	"Cryptotriton nasalis"	"4"
"185"	"Ctenophryne carpish"	"3"
"186"	"Cynops ensicauda"	"5"
"187"	"Dendrophryniscus carvalhoi"	"5"
"188"	"Dendropsophus gryllatus"	"4"
"189"	"Dendropsophus meridensis"	"5"
"190"	"Dendrotriton kekchiorum"	"3"
"191"	"Didynamipus sjostedti"	"3"
"192"	"Duellmanohyla chamulae"	"4"
"193"	"Duellmanohyla ignicolor"	"3"
"194"	"Duellmanohyla lythrodes"	"4"
"195"	"Duellmanohyla soralia"	"8"
"196"	"Duellmanohyla uranochroa"	"2"
"197"	"Duttaphrynus beddomii"	"3"
"198"	"Duttaphrynus kotagamai"	"2"
"199"	"Duttaphrynus noellerti"	"2"
"200"	"Echinotriton andersoni"	"4"
"201"	"Ecnomiohyla fimbrimembra"	"1"
"202"	"Ecnomiohyla minera"	"3"
"203"	"Ecnomiohyla phantasmagoria"	"5"
"204"	"Eleutherodactylus acmonis"	"5"
"205"	"Eleutherodactylus adelus"	"2"
"206"	"Eleutherodactylus alcoae"	"5"
"207"	"Eleutherodactylus amplinympha"	"3"
"208"	"Eleutherodactylus andrewsi"	"3"
"209"	"Eleutherodactylus armstrongi"	"3"
"210"	"Eleutherodactylus auriculatoides"	"3"
"211"	"Eleutherodactylus barlagnei"	"14"
"212"	"Eleutherodactylus casparii"	"4"
"213"	"Eleutherodactylus counouspeus"	"2"
"214"	"Eleutherodactylus dennisi"	"1"
"215"	"Eleutherodactylus dilatus"	"2"
"216"	"Eleutherodactylus diplasius"	"2"
"217"	"Eleutherodactylus emiliae"	"3"
"218"	"Eleutherodactylus etheridgei"	"3"
"219"	"Eleutherodactylus glamyrus"	"5"
"220"	"Eleutherodactylus glaphycompus"	"2"
