"species_list"	"threat_code"
"51"	"Arthroleptides martiensseni"	"1.1 2.1 2.1.2 5.3 5.3.5 8.2 8.2.2 9.3 9.3.2"
"52"	"Arthroleptides yakusini"	"2.1 2.1.2 8.2 8.2.2 9.3 9.3.2"
"53"	"Arthroleptis aureoli"	"1.1 2.1 2.1.2 5.3 5.3.5"
"54"	"Arthroleptis bioko"	"11.1 2.1 2.1.2 4.1 5.3 5.3.5 8.1 8.1.2"
"55"	"Arthroleptis fichika"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.1"
"56"	"Arthroleptis perreti"	"2.3 2.3.1 5.3 5.3.1"
"57"	"Arthroleptis tanneri"	"2.1 2.1.2 5.3 5.3.3"
"58"	"Arthroleptis xenodactylus"	"2.1 2.1.2 3.2 5.3 5.3.1"
"59"	"Astylosternus fallax"	"1.1 2.1 2.1.2 5.4 5.4.1"
"60"	"Astylosternus laurenti"	"1.1 2.1 2.1.2 5.3 5.3.3"
"61"	"Astylosternus perreti"	"1.1 2.1 2.1.2 5.3 5.3.3 9.3 9.3.2"
"62"	"Astylosternus ranoides"	"1.1 11.1 11.3 2.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.3 9.3 9.3.2 9.3.3"
"63"	"Astylosternus schioetzi"	"1.1 2.1 2.1.2 5.3 5.3.3 5.3.4"
"64"	"Atelognathus patagonicus"	"2.3 2.3.1 8.1 8.1.2 9.3 9.3.1"
"65"	"Atelognathus praebasalticus"	"2.3 2.3.1 2.3.2 8.1 8.1.2"
"66"	"Atelopus certus"	"2.1 2.1.1 2.1.2 8.1 8.1.2 9.1 9.1.3 9.3 9.3.4"
"67"	"Atelopus dimorphus"	"8.1 8.1.2"
"68"	"Atelopus laetissimus"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.3"
"69"	"Atelopus limosus"	"1.1 2.1 2.1.1 2.1.2 2.2 2.2.1 2.2.2 3.2 8.1 8.1.2 9.1 9.1.3 9.3 9.3.2 9.3.4"
"70"	"Atelopus longibrachius"	"1.1 2.1 2.1.1 2.1.2 2.1.3 2.3 2.3.2 2.3.3 5.3 5.3.5 8.1 8.1.2 9.2 9.2.3 9.3 9.3.3"
"71"	"Atelopus mittermeieri"	"11.4 8.1 8.1 8.1.2 8.1.2 9.3 9.3.4"
"72"	"Atelopus nahumae"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5 8.1 8.1.2 9.3 9.3.3"
"73"	"Atelopus oxapampae"	"2.1 2.1.2 2.3 2.3.2 4.1 8.1 8.1.2"
"74"	"Babina holsti"	"4.1 5.3 5.3.5 7.2 7.2.11"
"75"	"Babina okinavana"	"1.1 8.1 8.1.2"
"76"	"Babina subaspera"	"4.1 5.3 5.3.5 8.1 8.1.2"
"77"	"Barbourula kalimantanensis"	"3.2 5.3 5.3.5 9.2 9.2.3 9.3 9.3.2"
"78"	"Batrachoseps campi"	"2.3 2.3.4 3.2 6.1"
"79"	"Batrachuperus londongensis"	"1.3 5.1 5.1.1 6.1 7.2 7.2.11 9.1 9.1.3"
"80"	"Bolitoglossa alvaradoi"	"2.1 2.1.2 5.3 5.3.5"
"81"	"Bolitoglossa celaque"	"2.1 2.1.1 2.1.2 5.3 5.3.5 7.1 7.1.3"
"82"	"Bolitoglossa compacta"	"2.1 2.1.2 2.3 2.3.2 5.3 5.3.5"
"83"	"Bolitoglossa conanti"	"10.3 1.1 11.2 11.4 2.1 2.1.1 2.1.2 2.3 2.3.1 2.3.2 5.3 5.3.5 7.1 7.1.3 8.1 8.1.2"
