"species_list"	"habitat_code"
"107"	"Boophis boehmei"	"1.6 1.9 5.1"
"108"	"Boophis boppa"	"1.9 5.1"
"109"	"Boophis feonnyala"	"14.6 15.1 1.6 5.1 5.5"
"110"	"Boophis haematopus"	"1.6 5.1"
"111"	"Boophis haingana"	"1.6 1.9 5.1"
"112"	"Boophis jaegeri"	"14.3 1.6 5.1"
"113"	"Boophis laurenti"	"1.9 3.7 4.7 5.1"
"114"	"Boophis miadana"	"1.9 5.1"
"115"	"Boophis narinsi"	"1.6 1.9 5.1"
"116"	"Boophis piperatus"	"1.9 5.1"
"117"	"Boophis rhodoscelis"	"1.6 1.9 4.7 5.1 5.4"
"118"	"Boophis sambirano"	"14.6 1.6 1.9 5.1"
"119"	"Boophis sandrae"	"14.6 1.6 1.9 5.1"
"120"	"Boophis solomaso"	"1.6 5.1"
"121"	"Boulengerula changamwensis"	"14.3 14.4 1.6"
"122"	"Boulengerula niedeni"	"14.1 1.9 5.1"
"123"	"Boulengerula taitana"	"14.3 14.4 14.6 1.9 5.1"
"124"	"Bryophryne bustamantei"	"1.9 3.7"
"125"	"Bryophryne cophites"	"1.9 3.7 4.7"
"126"	"Bufoides meghalayanus"	"1.9 5.8 6"
"127"	"Callimedusa baltea"	"1.9 5.8"
"128"	"Callimedusa ecuatoriana"	"1.9 5.1 5.7 5.8"
"129"	"Callulina kisiwamsitu"	"1.9"
"130"	"Callulops kopsteini"	"1.6"
"131"	"Cardioglossa oreas"	"1.9 5.1"
"132"	"Cardioglossa pulchra"	"1.6 1.9 5.1"
"133"	"Cardioglossa schioetzi"	"14.6 1.9 4.7 5.1"
"134"	"Cardioglossa venusta"	"1.6 1.9 5.1"
"135"	"Centrolene azulae"	"1.9 5.1"
"136"	"Centrolene lynchi"	"1.9 5.1"
"137"	"Centrolene petrophilum"	"1.9 5.1"
"138"	"Centrolene pipilatum"	"1.9 5.1"
"139"	"Charadrahyla chaneque"	"1.6 1.9 5.1"
"140"	"Chiasmocleis lacrimae"	"1.5 5.8"
"141"	"Chiropterotriton chondrostega"	"1.9"
"142"	"Chiropterotriton cracens"	"1.4"
"143"	"Chiropterotriton dimidiatus"	"1.9"
"144"	"Chiropterotriton multidentatus"	"1.9"
"145"	"Chrysobatrachus cupreonitens"	"4.6 4.7 5.1 5.4 5.5 5.7 5.8"
"146"	"Cochranella mache"	"1.6 5.1"
"147"	"Colostethus mertensi"	"1.9 5.1 5.8"
"148"	"Colostethus ruthveni"	"1.5 1.6 1.9 5.1"
"149"	"Conraua goliath"	"14.6 1.6 5.1"
"150"	"Cophixalus mcdonaldi"	"1.6"
"151"	"Cophixalus monticola"	"1.9"
"152"	"Cophixalus neglectus"	"1.6 1.9"
"153"	"Cophyla alticola"	"1.9"
"154"	"Cophyla berara"	"1.5"
"155"	"Cophyla mavomavo"	"1.6"
"156"	"Cophyla milloti"	"1.6"
"157"	"Cophyla noromalalae"	"1.6 1.9"
"158"	"Cophyla olgae"	"1.9"
"159"	"Cophyla rava"	"1.9"
"160"	"Cophyla tetra"	"14.6 1.6 1.9"
"161"	"Cophyla tsaratananaensis"	"1.9"
"162"	"Cornufer vitianus"	"14.3 14.4 14.6 1.6"
"163"	"Craugastor aurilegulus"	"1.6 1.9 5.1"
"164"	"Craugastor azueroensis"	"1.5 1.9 5.1"
"165"	"Craugastor charadra"	"14.3 1.6 1.9 5.1"
"166"	"Craugastor daryi"	"1.9 5.1 5.2"
"167"	"Craugastor hobartsmithi"	"1.5 1.9"
"168"	"Craugastor inachus"	"1.5 5.1"
"169"	"Craugastor laevissimus"	"14.3 14.4 14.6 1.6 1.9 5.1"
"170"	"Craugastor lauraster"	"14.6 1.6 1.9"
"171"	"Craugastor montanus"	"1.9"
"172"	"Craugastor omiltemanus"	"1.9"
"173"	"Craugastor pechorum"	"1.6 5.1"
"174"	"Craugastor punctariolus"	"1.9 5.1 5.2"
"175"	"Craugastor rhyacobatrachus"	"1.9 5.1"
"176"	"Craugastor sandersoni"	"1.6 5.1"
"177"	"Craugastor silvicola"	"1.9"
"178"	"Craugastor spatulatus"	"1.9"
"179"	"Craugastor stuarti"	"1.9"
"180"	"Craugastor uno"	"1.9"
"181"	"Craugastor vulcani"	"1.6 1.9 5.1"
"182"	"Cryptobatrachus boulengeri"	"1.9 5.1"
"183"	"Cryptotriton alvarezdeltoroi"	"1.9"
"184"	"Cryptotriton nasalis"	"1.9"
"185"	"Ctenophryne carpish"	"1.9"
"186"	"Cynops ensicauda"	"15.2 1.6 5.1 5.7 5.8 5.9"
"187"	"Dendrophryniscus carvalhoi"	"1.6"
"188"	"Dendropsophus gryllatus"	"14.3 1.6 5.7"
"189"	"Dendropsophus meridensis"	"1.9 5.7 5.8"
"190"	"Dendrotriton kekchiorum"	"1.9"
"191"	"Didynamipus sjostedti"	"14.6 1.6 1.9"
"192"	"Duellmanohyla chamulae"	"1.4 1.9 5.1"
"193"	"Duellmanohyla ignicolor"	"1.6 1.9 5.1"
"194"	"Duellmanohyla lythrodes"	"1.6 5.1"
"195"	"Duellmanohyla soralia"	"1.6 1.9 5.1"
"196"	"Duellmanohyla uranochroa"	"1.6 1.9 5.1"
"197"	"Duttaphrynus beddomii"	"14.3 1.9 5.1"
"198"	"Duttaphrynus kotagamai"	"1.6 1.9 5.1"
"199"	"Duttaphrynus noellerti"	"14.3 14.4 1.6 18"
"200"	"Echinotriton andersoni"	"1.6 4.6 5.4 5.7"
"201"	"Ecnomiohyla fimbrimembra"	"1.9"
"202"	"Ecnomiohyla minera"	"1.9"
"203"	"Ecnomiohyla phantasmagoria"	"1.6"
"204"	"Eleutherodactylus acmonis"	"1.6 1.9"
"205"	"Eleutherodactylus adelus"	"1.6"
"206"	"Eleutherodactylus alcoae"	"14.2 14.4 1.5 6 7.1"
"207"	"Eleutherodactylus amplinympha"	"1.6 1.9"
"208"	"Eleutherodactylus andrewsi"	"1.6 1.9"
"209"	"Eleutherodactylus armstrongi"	"14.3 1.6 1.9"
"210"	"Eleutherodactylus auriculatoides"	"1.6 1.9"
"211"	"Eleutherodactylus barlagnei"	"14.2 1.6 1.9 4.6 4.7 5.1"
"212"	"Eleutherodactylus casparii"	"14.3 14.4 14.6 16 1.6"
"213"	"Eleutherodactylus counouspeus"	"1.6 7.1"
"214"	"Eleutherodactylus dennisi"	"1.6 7.1"
"215"	"Eleutherodactylus dilatus"	"1.6"
"216"	"Eleutherodactylus diplasius"	"14.3 1.6 1.9"
"217"	"Eleutherodactylus emiliae"	"1.6"
"218"	"Eleutherodactylus etheridgei"	"1.6 6"
"219"	"Eleutherodactylus glamyrus"	"1.6 1.9"
"220"	"Eleutherodactylus glaphycompus"	"1.6 1.9 6"
"221"	"Eleutherodactylus grabhami"	"1.6"
"222"	"Eleutherodactylus grahami"	"1.5 3.6 6"
"223"	"Eleutherodactylus greyi"	"1.6 6"
"224"	"Eleutherodactylus gryllus"	"1.6 1.9"
"225"	"Eleutherodactylus guanahacabibes"	"1.6 6 7.1"
"226"	"Eleutherodactylus gundlachi"	"1.6 1.9"
"227"	"Eleutherodactylus haitianus"	"1.9"
"228"	"Eleutherodactylus hedricki"	"1.6 1.9"
"229"	"Eleutherodactylus heminota"	"1.6 1.9"
"230"	"Eleutherodactylus hypostenor"	"14.3 1.6 1.9"
"231"	"Eleutherodactylus intermedius"	"1.6 1.9"
