"species_list"	"threat_count"
"319"	"Leptobrachella palmata"	"2"
"320"	"Leptodactylodon axillaris"	"8"
"321"	"Leptodactylodon erythrogaster"	"6"
"322"	"Leptodactylus fallax"	"7"
"323"	"Leptodactylus magistris"	"4"
"324"	"Leptodactylus silvanimbus"	"10"
"325"	"Leptolalax botsfordi"	"5"
"326"	"Leptophryne cruentata"	"3"
"327"	"Lithobates chichicuahutla"	"2"
"328"	"Lithobates omiltemanus"	"4"
"329"	"Lithobates pueblae"	"5"
"330"	"Lithobates sevosus"	"12"
"331"	"Lithobates subaquavocalis"	"6"
"332"	"Lithobates tlaloci"	"8"
"333"	"Litoria booroolongensis"	"8"
"334"	"Litoria castanea"	"5"
"335"	"Litoria lorica"	"8"
"336"	"Litoria myola"	"7"
"337"	"Litoria nyakalensis"	"8"
"338"	"Litoria piperata"	"6"
"339"	"Litoria spenceri"	"11"
"340"	"Lyciasalamandra billae"	"3"
"341"	"Mannophryne caquetio"	"6"
"342"	"Mannophryne cordilleriana"	"5"
"343"	"Mannophryne lamarcai"	"7"
"344"	"Mannophryne neblina"	"1"
"345"	"Mantella aurantiaca"	"5"
"346"	"Mantella milotympanum"	"7"
"347"	"Mantidactylus pauliani"	"6"
"348"	"Megastomatohyla mixe"	"3"
"349"	"Megastomatohyla pellita"	"4"
"350"	"Megophrys damrei"	"6"
"351"	"Melanophryniscus admirabilis"	"3"
"352"	"Melanophryniscus langonei"	"2"
"353"	"Melanophryniscus peritus"	"3"
"354"	"Mertensophryne usambarae"	"3"
"355"	"Micrixalus kottigeharensis"	"1"
"356"	"Microbatrachella capensis"	"5"
"357"	"Microhyla karunaratnei"	"2"
"358"	"Minyobates steyermarki"	"3"
"359"	"Nannophrys marmorata"	"4"
"360"	"Nectophrynoides laticeps"	"2"
"361"	"Nectophrynoides paulae"	"2"
"362"	"Nectophrynoides poyntoni"	"1"
"363"	"Nectophrynoides pseudotornieri"	"3"
"364"	"Nectophrynoides wendyae"	"1"
"365"	"Neurergus microspilotus"	"5"
"366"	"Niceforonia adenobrachia"	"2"
"367"	"Nimbaphrynoides occidentalis"	"3"
"368"	"Nototriton lignicola"	"8"
"369"	"Nototriton major"	"3"
"370"	"Nyctibatrachus dattatreyaensis"	"3"
"371"	"Nymphargus anomalus"	"4"
"372"	"Nymphargus laurae"	"2"
"373"	"Odorrana wuchuanensis"	"1"
"374"	"Oedipina altura"	"4"
"375"	"Oedipina maritima"	"5"
"376"	"Oedipina paucidentata"	"4"
"377"	"Oedipina tomasi"	"1"
"378"	"Oophaga lehmanni"	"7"
"379"	"Oreobates pereger"	"4"
"380"	"Oreobates zongoensis"	"6"
"381"	"Oreolalax liangbeiensis"	"2"
"382"	"Oreolalax sterlingae"	"6"
"383"	"Parhoplophryne usambarica"	"2"
"384"	"Parvimolge townsendi"	"4"
"385"	"Pelophryne linanitensis"	"1"
"386"	"Pelophryne murudensis"	"1"
"387"	"Pelophylax cerigensis"	"4"
"388"	"Peltophryne florentinoi"	"1"
"389"	"Peltophryne fluviatica"	"3"
"390"	"Peltophryne lemur"	"2"
"391"	"Philautus jacobsoni"	"2"
"392"	"Philautus sanctisilvaticus"	"4"
"393"	"Philoria frosti"	"14"
"394"	"Phrynobatrachus chukuchuku"	"2"
"395"	"Phrynobatrachus intermedius"	"3"
"396"	"Phrynopus dagmarae"	"2"
"397"	"Phrynopus heimorum"	"4"
"398"	"Phrynopus juninensis"	"4"
"399"	"Phrynopus kauneorum"	"3"
"400"	"Phrynopus peruanus"	"4"
"401"	"Phrynopus tautzorum"	"1"
"402"	"Phytotriades auratus"	"2"
"403"	"Pithecopus ayeaye"	"3"
"404"	"Platymantis insulatus"	"7"
"405"	"Plectrohyla acanthodes"	"5"
"406"	"Plectrohyla avia"	"4"
"407"	"Plectrohyla calthula"	"4"
"408"	"Plectrohyla calvicollina"	"3"
"409"	"Plectrohyla celata"	"4"
"410"	"Plectrohyla cembra"	"3"
"411"	"Plectrohyla chryses"	"4"
"412"	"Plectrohyla chrysopleura"	"8"
"413"	"Plectrohyla crassa"	"4"
"414"	"Plectrohyla cyanomma"	"4"
"415"	"Plectrohyla dasypus"	"10"
"416"	"Plectrohyla ephemera"	"2"
"417"	"Plectrohyla exquisita"	"9"
"418"	"Plectrohyla guatemalensis"	"4"
"419"	"Plectrohyla hartwegi"	"5"
"420"	"Plectrohyla hazelae"	"3"
"421"	"Plectrohyla ixil"	"4"
"422"	"Plectrohyla pachyderma"	"8"
"423"	"Plectrohyla pokomchi"	"5"
"424"	"Plectrohyla psarosema"	"3"
"425"	"Plectrohyla pycnochila"	"5"
"426"	"Plectrohyla quecchi"	"5"
"427"	"Plectrohyla sabrina"	"4"
"428"	"Plectrohyla siopela"	"3"
"429"	"Plectrohyla tecunumani"	"6"
"430"	"Plectrohyla teuchestes"	"4"
"431"	"Plectrohyla thorectes"	"3"
"432"	"Plethodontohyla matavy"	"4"
"433"	"Pleurodema somuncurense"	"6"
"434"	"Pristimantis albericoi"	"4"
"435"	"Pristimantis bernali"	"2"
"436"	"Pristimantis hamiotae"	"4"
"437"	"Pristimantis lichenoides"	"3"
"438"	"Pristimantis pardalinus"	"2"
"439"	"Pristimantis phragmipleuron"	"2"
"440"	"Pristimantis simonsii"	"2"
"441"	"Pristimantis torrenticola"	"3"
"442"	"Pristimantis tribulosus"	"2"
"443"	"Pristimantis veletis"	"2"
"444"	"Proceratophrys moratoi"	"4"
"445"	"Prostherapis dunni"	"6"
"446"	"Pseudoeurycea ahuitzotl"	"4"
"447"	"Pseudoeurycea anitae"	"4"
"448"	"Pseudoeurycea aquatica"	"5"
"449"	"Pseudoeurycea aurantia"	"3"
"450"	"Pseudoeurycea brunnata"	"5"
"451"	"Pseudoeurycea exspectata"	"2"
"452"	"Pseudoeurycea goebeli"	"5"
"453"	"Pseudoeurycea juarezi"	"4"
"454"	"Pseudoeurycea mystax"	"4"
"455"	"Pseudoeurycea obesa"	"1"
"456"	"Pseudoeurycea orchileucos"	"3"
"457"	"Pseudoeurycea rex"	"2"
"458"	"Pseudoeurycea robertsi"	"7"
"459"	"Pseudoeurycea saltator"	"3"
"460"	"Pseudoeurycea smithi"	"6"
"461"	"Pseudoeurycea tlahcuiloh"	"3"
"462"	"Pseudoeurycea unguidentis"	"6"
"463"	"Pseudophilautus amboli"	"2"
"464"	"Pseudophilautus decoris"	"4"
"465"	"Pseudophilautus limbus"	"4"
"466"	"Pseudophilautus lunatus"	"4"
"467"	"Pseudophilautus macropus"	"3"
"468"	"Pseudophilautus nemus"	"3"
"469"	"Pseudophilautus ocularis"	"4"
"470"	"Pseudophilautus papillosus"	"4"
"471"	"Pseudophilautus procax"	"5"
"472"	"Pseudophilautus simba"	"6"
"473"	"Pseudophryne corroboree"	"7"
"474"	"Psychrophrynella guillei"	"2"
"475"	"Psychrophrynella illimani"	"2"
"476"	"Psychrophrynella kallawaya"	"2"
"477"	"Psychrophrynella saltator"	"3"
"478"	"Ptychohyla dendrophasma"	"3"
"479"	"Ptychohyla macrotympanum"	"3"
"480"	"Ptychohyla sanctaecrucis"	"5"
"481"	"Rana chevronta"	"2"
"482"	"Rana holtzi"	"6"
"483"	"Raorchestes chalazodes"	"1"
"484"	"Raorchestes chlorosomma"	"3"
"485"	"Raorchestes griet"	"2"
"486"	"Raorchestes kaikatti"	"2"
"487"	"Raorchestes marki"	"2"
"488"	"Raorchestes munnarensis"	"3"
"489"	"Raorchestes ponmudi"	"1"
"490"	"Raorchestes resplendens"	"1"
"491"	"Raorchestes shillongensis"	"2"
"492"	"Raorchestes sushili"	"1"
"493"	"Rhacophorus pseudomalabaricus"	"3"
"494"	"Rhaebo colomai"	"3"
"495"	"Rhinella amabilis"	"4"
"496"	"Rhinella chavin"	"2"
"497"	"Rhinella rostrata"	"4"
"498"	"Rhinoderma rufum"	"3"
"499"	"Rhombophryne analamaina"	"5"
"500"	"Rhombophryne hara"	"3"
"501"	"Rhombophryne helenae"	"3"
"502"	"Scinax alcatraz"	"2"
"503"	"Scinax faivovichi"	"1"
"504"	"Scinax muriciensis"	"3"
"505"	"Scinax peixotoi"	"1"
"506"	"Scutiger maculatus"	"5"
"507"	"Sechellophryne pipilodryas"	"3"
"508"	"Sooglossus thomasseti"	"3"
"509"	"Strabomantis helonotus"	"4"
"510"	"Taruga fastigo"	"6"
"511"	"Taudactylus acutirostris"	"8"
"512"	"Taudactylus eungellensis"	"10"
"513"	"Taudactylus pleione"	"8"
"514"	"Taudactylus rheophilus"	"6"
"515"	"Telmatobius atacamensis"	"6"
"516"	"Telmatobius cirrhacelis"	"8"
"517"	"Telmatobius culeus"	"10"
"518"	"Telmatobius dankoi"	"5"
"519"	"Telmatobius espadai"	"1"
"520"	"Telmatobius gigas"	"4"
"521"	"Telmatobius niger"	"7"
"522"	"Telmatobius pefauri"	"2"
"523"	"Telmatobius philippii"	"1"
"524"	"Telmatobius punctatus"	"2"
"525"	"Telmatobius timens"	"4"
"526"	"Telmatobius vellardi"	"8"
"527"	"Telmatobius vilamensis"	"5"
"528"	"Telmatobufo bullocki"	"3"
"529"	"Thorius aureus"	"3"
"530"	"Thorius infernalis"	"4"
"531"	"Thorius insperatus"	"3"
"532"	"Thorius magnipes"	"5"
"533"	"Thorius minutissimus"	"4"
"534"	"Thorius munificus"	"6"
"535"	"Thorius narismagnus"	"3"
"536"	"Thorius narisovalis"	"5"
"537"	"Thorius pennatulus"	"5"
"538"	"Thorius smithi"	"3"
"539"	"Thorius spilogaster"	"5"
"540"	"Vandijkophrynus amatolicus"	"3"
"541"	"Werneria iboundji"	"1"
"542"	"Wolterstorffina chirioi"	"3"
"543"	"Xanthophryne tigerina"	"3"
"544"	"Xenopus itombwensis"	"5"
"545"	"Xenopus lenduensis"	"3"
"546"	"Xenopus longipes"	"1"
